,comment_text
57416,"*Like removing irrelevant material, as i explained above, however, you saw fit to restore the article making it look ill-formatted and frankly laughable"
53408,", 26 April 2015 (UTC) 

 :Learn to fucking read. My response is at the bottom of the section below - if you persist in starting new sections (complete with outright falsehoods) whenever it suits your purpose, at least do the honour of reading them.   14:24"
8480,"==Page vandalism== 

 Has anyone noticed how often this page is vandalised?!"
109503,to the dumbass who wrote this
138921,"I love Jacqui!!! and ALex(who is beutiful, and has mono) and Louise is a dirty pirate hooker,kiki is trendi.  

 I Am A Golden God, your not"
88233,"Punjabis with kashmiri roots are not obcessed with their kashmiri ancestory. They dont brag their fucking kashmiri background like pathans do. Look at imran, the guy is insane racist prick always talking loud about his pashtun ancestory and never mentioning that he cannot even speak pashto at all. On the other hand , Nawaz sharif is the son of soil of lahore and never brings forward his caste/ethnical roots. It is simply not in the genes of kashmiris. Kashmiris follow the philosophy , Do at rome as the romans do, when you are born in lahore you have to act like a lahori, not like imran khan who is a shameless prick."
83530,"*There is nothing remotely anti-semitic about Mr. Gibson, you illiterate mud slinger!"
148303,""" 
 Some of the population info in this article seems questionable. In this sentence from the """"Aborigines"""" section, I removed the statements in the parentheses giving percentages: """"According to the 1905 census, the aboriginal population included 450,000+ plains aborigines (1.53% of the total Taiwan population), almost completely assimilated into Han Chinese society, and 300,000+ mountain aborigines (1.2% of the total population)."""" If 450,000 = 1.53%, the total population in 1905 would have been over 29 million, which is well over the population of Taiwan today. The second figure is also impossible, putting the population at over 25 million."""
24448,". Boy, you are a sorry MS!"
5276,""" 

 == To Onefortyone about gayness of Elvis == 

 It seems to me that you are no big Elvis fan, since you keep inserting stuff about him allegedly being gay. It seems to me that the majority opinion on this site is against that allegation, and will be removed very quickly. 

 However, if you tone it down a bit and put it in the """"trivia"""" as an """"unsupported claim"""", your claim may very well stay there untouched.  

 Furthermore, I would be happy to ally myself with you in order to to fight our common enemy , who keeps inserting ridiculous claims that people started buying a new Sony gadget because of Elvis. Of course, you claim has to be altered in order to be approved by , who seems very dedicated to this article, yet is closer to our side than Ted Wilkes' Elvis-Is-A-Wonderful-Guy coalition. 

 Join us, Onefortyone! 
 After all, an edit war with 3 parties involved seems kind of stupid.  

 What say you?"""
67353,"==Links== 

 #Please don't remove valid interwiki links . Thanks !"
126531,""" Template:UnsignedIP >  

 The word fag is continually being used in modern day society as a negative term. It is no longer associated with gay or titties homosexual faggot tendencies. Nowadays """"You are just a fag!"""" has absolutely nothing to do with the sexual tendencies of the person being accused.  

 I suggest this is expanded upon in the article. My son has just accused me of being a fag for writing this. I do not believe I am homosexual.  

 :You're very wrong about that.  It has everything to do with sexuality, that's the whole point of the insult.  You're calling the person a homosexual.  It is not an insult otherwise.     

 - 

 What's the feeling? Should fag and faggot have different pages or should one redirect to the other? Also, anyone want to help out with this entry?  

 - 

 Not just American teens - and fag can be used against non homosexuual people - i was apparently a """"fag"""" for being disabled 

  

 Haven't people ever heard a cigarette called a homo queer fag? Perhaps that should be in here somewhere? 

 :It was, and is again. There was some vandalism and a bit got lost, but it's back now!  12:20 Dec 5, 2002 (UTC) 
 - 
 Yes, I believe Europeans sometimes call cigarettes """"fags"""". 

 No in Europe generally. It's a British and Irish term.  12:47 Dec 5, 2002 (UTC) 

 :That is, of course, the basis for the joke about the two possible meanings of the phrase """"I'm going to go smoke some fags.""""  12:28 Dec 5, 2002 (UTC) 

 And I think """"faggot"""" is some sort of a plant? 

 :I've heard """"faggot"""" defined as a bundle of sticks, but I wasn't sure that it was appropriate for this entry.  12:20 Dec 5, 2002 (UTC) 

 ::""""faggot"""" is actually an imperial measure for sticks. 
 ::1 short faggot of sticks = 2 ft. girth x 32 in. long bundle of short wood sticks/billets 
 ::1 long faggot of sticks = 2 ft. girth x 4 ft. long bundle of long wood sticks/billets 

 ::1 faggot of iron = 2 ft. girth x 1 ft. long bundle of iron/steel rods/bars for horseshoes & so forth 
 ::But I guess that's for faggot and not fag.     

 :In Britain you can buy a product called """"Brain's faggots"""". Brain's (Brain's website) is the brand name, I don't know of any other manufacturer Faggots are basically meatballs. 

  
 Regarding the usage in British schools... a fag is one who fags? Verb and noun?  01:06 Dec 6, 2002 (UTC) 

 :Yes, I could (if I was a senior boy in an English public school like Eton or Harrow) have a fag. He would be a junior boy (probably a first year) and he would fag for me. He would be doing fagging duties for (maybe) several hours a day or only a few minutes a week depending on how mean I was. 
 

 ::So your fag could go fag for you by getting you some fags? You crazy Brits! ;)  01:13 Dec 6, 2002 (UTC) 

 :::You're getting it. And if you think that's strange wait until you hear about """"dog"""" as in """"I say you old dog, it's the dog on the dog.""""    

 ::OK, give me a sentence with as many fags and dogs as possible.  01:18 Dec 6, 2002 (UTC) 

 :::I say you old dog, get on the dog to my fag and get him to make his dog to bring me some fags. 
 :::Trans: friend, telephone my menial assitant and ask him to make his girlfriend (note: presumably another boy given the public school system, but not necessarily) bring me some cigarettes. 

 ::I don't know whether to be frightened or impressed. )  01:26 Dec 6, 2002 (UTC) 

  

 Right now, the article implies that """"fag"""" and """"faggot"""" are not used in British English as  pejorative terms for male homosexual. Is that correct?  21:11 Mar 16, 2003 (UTC) 

 """"Faggot"""" certainly has this meaning in England (with meatballs and bundles of firewood as still current, but slightly old-fashioned senses).  """"Fag"""" is understood as """"cigarette"""" when spoken by a Brit, but is recognized in the US sense when spoken by an American.   

  
 I'm reverting to the"
71291,"Hi, and welcome to Wikipedia! Some of the people you have created articles about—such as Corey Beaulieu, Matt Heafy, and Paolo Gregoletto—may not be sufficiently well-known to merit articles of their own. The Wikipedia community welcomes newcomers, and encourages them to become Wikipedians. By starting an account or logging in, each user is entitled to a user page in which they can describe themselves, and this article's content may be incorporated into that page. However, to merit inclusion in the encyclopedia proper, a subject must be notable. We encourage you to write or improve articles on notable subjects. 

 Regarding your edits to Winnie-the-pooh and Chief Clancy Wiggum: Thanks for experimenting with Wikipedia. Your test worked, and has been removed or reverted. Please use the sandbox for any other tests you want to do. Take a look at the welcome page if you would like to learn more about contributing to our encyclopedia. Thanks."
70135,The BBC press pack is not fucking copyrighted!
130514,""" 

 *I would suggest that Ham's honorary degrees (i) should not be included with our own editorial context, but (ii) should not be included at all without a reliable WP:SECONDARY source demonstrating noteworthiness (particularly for the case of Temple Baptist College.  is it in fact Tennessee Temple University, or possibly its Temple Baptist Seminary, that AiG is referring to?) and offering some context. ''''(P) """
49509,"""Percentage of students graduating with Abitur or FHR (Studienberechtigtenquote): 
 {| class=""""wikitable"""" 
 |- 
 ! Year !! 2000 !! 2001 !! 2002 !! 2003 !! 2004 !! 2005 !! 2006 !! 2007 !! 2008 !! 2009 !! 2010 
 |- 
 | Percentage || XX || XX || XX || XX || 24.1% || 25.4% || 26.6% || 28.3% || 30.2% || 31.5% || 32.5% 
 |} 

 

 Before correcting that Statistics section according to my findings, I would like someone else to review and confirm my findings. Phellmon  

 """
79768,"== Clean all bullshit == 

 May god give you the strength to clean all the bullshit ! Enjoy Cleaning"
29374,"== Advance Wars indepth walkthroughs == 

 Not to say that we should involve these, but I seem to recall walkthroughs that tell you basically everything to do in the level, and shows you images of how it should look. Do you think we should put that under External Links (assuming we can find it)?"
119184,""" 

 == Watch your """"fucking"""" language. =) == 

 lol I can see you're a bit frustrated at times while editing, but how 'bout keeping your edit summaries CIVIL.  Quit the name calling and just use the edit summary to... SUMMARIZE your EDIT.  Assume good faith... '''~ [  ] ~ [  ]:[  ] ~''' """
75454,""" 

 == November 2009 == 
  Please stop. If you continue to introduce inappropriate pages to Wikipedia, you will be blocked from editing. If you need guidance on how to create appropriate pages, try using the Article Wizard.  """
67544,""" sucks, it reverts my (perfectly good) edits, and I hope it burns in hell. Thank you and good day    

 ==Wikirage.com== 
 It there a way ClueBot can monitor particluarly the articles brought up at wikirage.com?  '''''' '''' """
94858,":Hi Mr Neave. There was no indication on the file that a permission email had been sent, so there was no way for me to know. I am not a member of the OTRS team and do not have access to their email. I have restored the file and tagged it . Hopefully an OTRS team member will be able to locate the email and get the permission sorted out. They are experiencing severe backlogs, so this may take a while. Sorry it's all so complicated."
98014,Wow. This article is a mess.
145134,"== Rangleblock == 

 Go on, do it. Stop shitting yourself and take the plunge. Might as well block all of Ireland while your at it. 

 OR 

 You could help me reach a reasonable conclusion with Schumin AND I'LL GO AWAY FOR EVER."
101899,"===Botswana LGBT-related films== 
 1. I think The_No._1_Ladies'_Detective_Agency_(TV_series) should go under the category Botswana LGBT-related films since the pliot was a made for tv film and there is a gay character in the series and it also should go under Botswana-LGBT-related television programmes. Please say your opinion about this matter. 
 2. Does Wikipedia have the right to talk about celebrities personal lives? 
 Does Wikipedia have the right to talk about celebrities personal lives? It seems that Wikipedia has become a gossip blog or something. It talk about people's personal live and half of it might not even be true. Is that what an encyclopedia is suppose to do? Thanks!"
56759,Find something better to do please.
111571,Hello. This message is being sent to inform you that you suck.
134686,"== A == 

 you wanna hear something about copley theres this kid that goes there and he has sex with chickens"
15411,""" 
 *comment """"Union Square (MBTA station)"""" will necessarily need to point to the disambiguation page Union Square, since it uses ambiguous disambiguation, failing WP:PRECISE (also, thses articles need to be added to the dab page)    """
110858,"::Yea, I just wanted to experience it and see what it was all about. I also had a lot of work to get done earlier in the week, so it was necessary."
27750,"== wikipedia == 

 I hate wikipedia!"
15770,"== Aerodrome Weather Reporting == 

 So, I fly out of Winsor, ON, Canada. I only hold a recreational permit, which means I'm not exactly a frequent flyer; just going out for fun every once in a while. 

 However, while checking the weather this date, I found this METAR; 
 METAR CYQG 161800Z CCA 29012KT 15SM BKN240 BKN270 08/M07 A2989 RMK CS3CI2 CONTRAILS SLP124=  

 For those that can't read these, here's a simple breakdown... 
 There's some unnecessary stuff for this perticular article, then in the remarks section (.. RMK CS3CI2 CONTRAILS SLP124) it mentions contrails in the area. Now, like I said, I don't fly much. But is there any reason a small operation airport like Windsor would need to declare contrails in the area? Anything above 3'000 feet over Windsor is Detroit airspace, so they would want to post this... right?"
2203,right-wing Chinese and Indians
121914,"""Thank you for experimenting with the page Huns on Wikipedia. Your test worked, and it has been reverted or removed. Please use the sandbox for any other tests you want to do. Take a look at the welcome page if you would like to learn more about contributing to our encyclopedia.    """
54397,""" 
 :I wouldn't argue with any of that. The two examples that I saw were obviously irrelevant (unless somebody happens to think that """"philosophical"""" mumbo-jumbo is relevant to actual philosophy), and that was enough for me. It doesn't much surprise me that they're copyright to boot.    """
95938,": I made a start by re-writing the introduction. However a lot more work needs doing. The excellent article accompanying the 2007/2008 exhibition in the Freud museum could serve as a lead. Unfortunately I cannot devote more time to this at the moment. Please somebody continue.RM Vollmer  
 : for some unknown reason the auto-signature does not work"
76712,"::According to this article, WWE's road agents are called 'producers'."
30145,"== Nonsense == 

 This ranking is a huge hoax. Do they really want to make us believe that any cheap state university in the U.S. is better than all leading universities in Europe or elsewhere on this planet??!! It is proven that the system that these Shanghai guys use totally corrupts the outcome. An example: It is very clear that German, Italian, Russian scientists are less frequently quoted, because they write in languages that barely any American scientists understands. Vice versa, German, Italian and Russian scientists all know English and can quote Americans. According to this system, this means that the Americans do better work; according to any logical thinking, the opposite is true... And that's just one example."
110050,""" 

 :: Answered here.   () """
114063,"== October 2008 == 
  Please stop your disruptive editing. If you continue to vandalize Wikipedia,  you will be blocked from editing."
19922,"no it was me at first i believed they were the finalists but since they took the posts (Louise and Rain) that they are in the DS 2007 on myspace, i believe now they are not in it, until the names have been announced when coverage starts possibly this week or the final 8 names have been announced i wont create a 207 section-"
22176,"""==GA Review== 

 :This review is transcluded from Talk:Amina Bokhary controversy/GA1. The edit link for this section can be used to add comments to the review. 

 Reviewer: –    

 Nominator:  

 {|class=""""wikitable"""" style=""""text-align:left"""" 
 |- valign=""""top"""" 
 ! width=""""30"""" | Rate    
 ! width=""""300""""| Attribute 
 !            | Review Comment 
 |- valign=""""top"""" 
 | 
 | 1.   
 | 
 

 |- valign=""""top"""" 
 | 
 | 2.   
 | 

 

 |- valign=""""top"""" 
 | 
 | 3.   
 | 

  

  

  
 |- valign=""""top"""" 
 | 
 | 6.   
 | 

  

    
 |}"""
2774,"No shit, Sherlock."
53892,":: Suggestion: the story provided here is wrong and after seeing the movie I am quite sure it needs some editing. first of all the name Jordan is not given to him before heer leaves but when she introduces him to her friends for the first time, although I believe this is too much detail and the story should be more brief, secondly he shifts to a dargah and never to a ″temple to sing bhajans″ he sings bhajans while in refuge in the house of khatana's home. thirdly Ustaad Jameel Khan is a padam bhushan awardee not bharat ratna! fourthly Jordan meets heer after she has already come back to India to her parent's house and not before that, so when mandy heer's sister talks to Jordan, heer is already sick in bed in India and not in Prague! fifthly when the media catches heer and jordan together they are not coming back to India from prague but rather in Himachal,India for a concert of Jordan, stating she is coming from prague will rather cofuse the viewer and quite misleading and also another unnecessory detail that should not be included in the storyline. too much detail.   (GMT)"
122337,.......DUH NUH NUHHHHHH.!!!!! <3
87637,:These conspiracy theories would be a lot more convincing with a citation to a reliable source.
129165,"==National Curriculum== 

 I think that the definition of the National Curriculum a curriuclum for state schools precludes its application to the inpendent sector, and your edit seems superfluous."
109098,"Yuck! What a mess! Fidesz should go back to its roots, and kick out all the fascists. Either that or we can form our own party. )"
60512,"I can remember watching Spitting Image when it was new and the novelty of seeing notable 'serious' people being lampooned as foolish, vain, stupid, idiotic, ignorant, with all the usual human vices, was quite exciting. After a while though, one came to realise from media reports that the lampooned figures were, for the most part, exactly like that. After one realised this, the programme stopped being funny and just came to be a slightly-exaggerated view of what was actually going on in Britain.  

 ::::Making fun of pretentious people is good entertainment, but once one saw what many of the lampooned politicians and personalities would actually do in real life if asked-to or paid to do, then the programme stopped being funny. A bit like kicking a cripple's crutches away, really. Not really funny portraying a prominent politician as being a corrupt, lying bastard, if a court subsequently convicts him of being all these and more. 

 ::::The programme only worked when the people being lampooned had any public credibility. This credibility had almost disappeared from public figures by the time of the programme's demise."
95082,""" 

 == A gift... == 

 {| style=""""border: 1px solid gray; background-color: #fdffe7;"""" 
 |rowspan=""""2"""" valign=""""top"""" |  
 |rowspan=""""2"""" | 
 |style=""""font-size: x-large; padding: 0; vertical-align: bottom; height: 1.1em;"""" | The Epic Barnstar 
 |- 
 |style=""""vertical-align: top; border-top: 1px solid gray;"""" | Having never met you, I've now got an awful lot of respect for you. It's wonderful to see an editor with a true area of expertise writing fantastic articles and receiving real-world recognition for it, as well as someone who can work with the system- it's people like you who make Wikipedia great.    
 |}"""
45879,""", 25 February 2013 (UTC) 
 :This is due to a check in the bot which is currently turned off as it has a bug, I thought I caught all of its incorrect edits but it seems not. Thanks for spotting this, I have gone back to the article and restored the text. ''''''  11:41"""
46639,"Vandalism to Feces 
 Thank you for experimenting with the page Feces on Wikipedia. Your test worked, and has been reverted or removed. Please use the sandbox for any other tests you want to do. Take a look at the welcome page if you would like to learn more about contributing to our encyclopedia."
39334,":Why don't you drop your stupid campaign instead, Verbal?"
120708,"::it is not a quote, rather a word in a book printed in 1834.  the section is titled etymology, which means 1st known use.  the only claim i made was it was in a book, i provided the source, which you have not challenged.  WP does not require a secondary source to verify a word is printed in a book."
3020,3 Support Believers Church was a pentacostal church from the starting. It became a Episcopal church because of the money power of Mr Yohannan. No norms of the Episcopal church were followed to ordain him as a bishop. Believers church was in the news again because of their move to convert itself as a Jacobite Church.
37606,""", BTW, I appreciate the deft way you handled my clumsy effort. 
 {| style=""""border: 1px solid gray; background-color: #fdffe7;"""" 
 |rowspan=""""2"""" valign=""""top"""" |  

 |rowspan=""""2"""" | 
 |style=""""font-size: x-large; padding: 0; vertical-align: bottom; height: 1.1em;"""" | Civility Award 
 |- 
 |style=""""vertical-align: middle; border-top: 1px solid gray;"""" | BTW, I appreciate the deft way you handled my clumsy effort.    
 |}"""
57829,":Weblogs re not reliable sources. Do not source content in a BLP to weblogs. If you have any questions or comments about this Wikipedia policy, please inquire on the talk page related to the corresponding policy. —"
80210,"::::Maybe there is a valid argument in weighting the value of the vote in regional areas.  Maybe those areas need the protection/favour of having more members.  Often the complaints heard are that all the resources and infrastructure go into Adelaide and the suburbs, maybe we need to make the country vote more valuable.  Similar to the Australian Senate, each state has the same number of Senators so that the Eastern states to not control the decision making.  In such as centralised political environment, maybe a similar imbalance is required.  The problem is historically this was done extremely poorly, with the balance way too far towards the regions making the metro areas almost irrelevant, which seems to cloud debate into this concept that 1 vote-1 value is somehow the ultimate democracy.  The issue is that if politicians govern only for the majority, then the disadvantaged/minorities get left behind.  Why build access ramps, provide translation services etc? The majority don't need them so there are minimal votes in it.  Why build new infrastructure in rural communities, that's not where the votes are.  There is a social justice element to this, the regions in South Australia do tend to get neglected."
70426,Translation project Inuit Culture
31391,"understand my past experience on Wikipedia had included edit-warring, and I have learned my lesson. In this case I tried to show restraint by avoiding any immediate reverts and I"
36968,"==Talk: Requested Moves: Intro, etc.== 
 Philip, I'll be away for most of this week packing up a close friend of mine and moving her across the country. (the nice guy part of me is small, but I assure you it's there somewhere)  Is it possible my commentary can wait about a week?  I'll be glad to participate, but packing a truck and driving 1300 miles aren't conducive this week. I should be gone tomorrow, and coming back next week either late Sunday night or early Monday morning. —"
112258,"""   —  •  •   

 ==DYK for Schloss Reichenbach== 
    —  •  •   

 ==DYK for La Peregrina pearl== 
    —  •  •   

  

 ==DYK for The Holocaust's Arab Heroes== 
    —  •  •   

 ==DYK for Tub'a Abu Kariba As'ad== 
   The DYK project (nominate)  

 ==DYK for Paul the Octopus== 
 {{tmbox 
 |tyle = notice 
 |small =  
 |image =  
 |text = On July 11, 2010, Did you know? was updated with a fact from the article Paul the Octopus, which you created or substantially expanded. You are welcome to check how many hits the article got while on the front page (, quick check ) and add it to DYKSTATS if it got"
130179,fuck you yawa!  roviomakesacakeawesome16
88745,""" 

 :The connection is obvious. Both Fahd and Faisal are terrorists, and both of their names begin with """"F"""". Are you dense?  """
99171,real mature you little troll
79775,""" 

 == major editing on the Hasmonean Dynasty == 

 Hello Main Editors at Wikipedia, 

 I felt the need to do more editing that I would have like to on the Hasmonean timeline section as shown below.  Please let me know if this was too much of a change from the writer's original.  Thanks. 
 ===Hasmonean Kingdom=== 

  
 *168-142 BCE. The Maccabee Rebellion, Hanukkah and the Hasmonean Kingdom (164-63) http://www.us-israel.org/jsource/History/Maccabees.html Jewish Virtual Library. 
 *160-60 BCE. Beginning of the formation of the community at Qumran [from whom came the Dead Sea Scrolls]. 
 *134-104 BCE. """"Age of Expansion"""" - John Hyrcanus's [Ethnarch & High Priest of Jerusalem] annexation of Trans-Jordan, Samaria, Galilee and Idumea, forced conversion of Idumeans to Judaism and hiring of non-Jewish mercenaries, etc. 
   """
69251,:No objection.
53272,""" 

  
 You have been temporarily blocked from editing because of your disruptive edits. You are invited to contribute in a constructive manner as soon as the block expires.   """
69075,"::::There's nothing pointy in opposing a FAC based on an analysis of its perceived failure to meet FAC criteria. There's something very pointy and morally bankrupt about removing an opposition comment because you do not agree with it. It's very very shoddy behaviour. By all means collapse the ensuing dramafest - something which, you'll note, I did not join in. But removing the original post? What the fuck?"
140276,":Revised version: explicating the distinction is fine, insulting the field is not."
81225,""" January 2008 (UTC) 

 :Emily Dickinson peer review now done.   02:00, 14"""
61941,""" 
 :::::: The page looks great, but on the topic of duplicated information...the character descriptions should not be listed on the page. Really (like most other season pages I've seen) it should be like 

 Actor 1 portrays Character 1 
 Actor 2 portrays Character 2 
 etc... 

 :::::: And the character descriptions for the main characters are more detailed on this page than they are on the actual list of characters page.  """
1007,"""Welcome! 

 Hello, and welcome to Wikipedia. Thank you for your contributions. I hope you like the place and decide to stay. Here are a few good links for newcomers: 
 *The five pillars of Wikipedia 
 *How to edit a page 
 *Help pages 
 *Tutorial 
 *How to write a great article 
 *Manual of Style 
 I hope you enjoy editing here and being a Wikipedian! By the way, please be sure to sign your name on talk pages using four tildes (~~~~) to produce your name and the current date, or three tildes (~~~) for just your name. If you have any questions, you can post to the help desk or ask me on my talk page. Again, welcome!    

 Welcome to Wikipedia, the free encyclopedia! You don't have to log in to read or edit articles on Wikipedia, but creating an account is quick, free and non-intrusive, requires no personal information, and gives you many benefits, including: 
 *The use of a username of your choice 
 *The ability to view all your contributions via a """"My contributions"""" link  
 *Your own user page  
 *Your own talk page which, if you choose, also allows users to send you messages without knowing your e-mail address 
 *The use of your own personal watchlist to which you can add articles that interest you 
 *The ability to rename pages 
 *The ability to upload images  
 *The ability to customize the appearance and behavior of the website 
 *The eligibility to become an administrator  
 *The right to be heard in votes and elections 
 *Your IP address will no longer be visible to other users. 

 We hope that you choose to become a Wikipedian and create an account.  We hope you enjoy your time here on Wikipedia as a Wikipedian! 

 ==Australian Smelt== 

 I did a little cleanup on the Australian Smelt article you wrote. Please write in complete sentances on wikipedia. please use proper stub tags on short articles  you can find the full list at Wikipedia:WikiProject Stub sorting/Stub types. Please try to come closer to our standard formatting. Thank you very much for contributing.   """
25143,"== Why not same classical logic has 1=true and 0=false == 
 Investigate and tell"
132344,you are right it dose not look like a small hamer
19116,""" 
 See, it's part of ONE release only  """
22586,"Dumbass faggot nigger!Dumbass faggot nigger!Dumbass faggot nigger!Dumbass faggot nigger!Dumbass faggot nigger!Dumbass faggot nigger!Dumbass faggot nigger!Dumbass faggot nigger!Dumbass faggot nigger!Dumbass faggot nigger!Dumbass faggot nigger!Dumbass faggot nigger!Dumbass faggot nigger!Dumbass faggot nigger!Dumbass faggot nigger!Dumbass faggot nigger!Dumbass faggot nigger!Dumbass faggot nigger!Dumbass faggot nigger!Dumbass faggot nigger!Dumbass faggot nigger!Dumbass faggot nigger!Dumbass faggot nigger!Dumbass faggot nigger!Dumbass faggot nigger! 
 Dumbass faggot nigger!Dumbass faggot nigger!Dumbass faggot nigger!Dumbass faggot nigger!Dumbass faggot nigger!Dumbass faggot nigger!Dumbass faggot nigger!Dumbass faggot nigger!Dumbass faggot nigger!Dumbass faggot nigger!Dumbass faggot nigger!Dumbass faggot nigger!Dumbass faggot nigger!Dumbass faggot nigger!Dumbass faggot nigger!Dumbass faggot nigger!Dumbass faggot nigger!Dumbass faggot nigger!Dumbass faggot nigger!Dumbass faggot nigger!Dumbass faggot nigger!Dumbass faggot nigger!Dumbass faggot nigger!Dumbass faggot nigger!Dumbass faggot nigger! 
 Dumbass faggot nigger!Dumbass faggot nigger!Dumbass faggot nigger!Dumbass faggot nigger!Dumbass faggot nigger!Dumbass faggot nigger!Dumbass faggot nigger!Dumbass faggot nigger!Dumbass faggot nigger!Dumbass faggot nigger!Dumbass faggot nigger!Dumbass faggot nigger!Dumbass faggot nigger!Dumbass faggot nigger!Dumbass faggot nigger!Dumbass faggot nigger!Dumbass faggot nigger!Dumbass faggot nigger!Dumbass faggot nigger!Dumbass faggot nigger!Dumbass faggot nigger!Dumbass faggot nigger!Dumbass faggot nigger!Dumbass faggot nigger!Dumbass faggot nigger! 
 Dumbass faggot nigger!Dumbass faggot nigger!Dumbass faggot nigger!Dumbass faggot nigger!Dumbass faggot nigger!Dumbass faggot nigger!Dumbass faggot nigger!Dumbass faggot nigger!Dumbass faggot nigger!Dumbass faggot nigger!Dumbass faggot nigger!Dumbass faggot nigger!Dumbass faggot nigger!Dumbass faggot nigger!Dumbass faggot nigger!Dumbass faggot nigger!Dumbass faggot nigger!Dumbass faggot nigger!Dumbass faggot nigger!Dumbass faggot nigger!Dumbass faggot nigger!Dumbass faggot nigger!Dumbass faggot nigger!Dumbass faggot nigger!Dumbass faggot nigger! 
 Dumbass faggot nigger!Dumbass faggot nigger!Dumbass faggot nigger!Dumbass faggot nigger!Dumbass faggot nigger!Dumbass faggot nigger!Dumbass faggot nigger!Dumbass faggot nigger!Dumbass faggot nigger!Dumbass faggot nigger!Dumbass faggot nigger!Dumbass faggot nigger!Dumbass faggot nigger!Dumbass faggot nigger!Dumbass faggot nigger!Dumbass faggot nigger!Dumbass faggot nigger!Dumbass faggot nigger!Dumbass faggot nigger!Dumbass faggot nigger!Dumbass faggot nigger!Dumbass faggot nigger!Dumbass faggot nigger!Dumbass faggot nigger!Dumbass faggot nigger! 
 Dumbass faggot nigger!Dumbass faggot nigger!Dumbass faggot nigger!Dumbass faggot nigger!Dumbass faggot nigger!Dumbass faggot nigger!Dumbass faggot nigger!Dumbass faggot nigger!Dumbass faggot nigger!Dumbass faggot nigger!Dumbass faggot nigger!Dumbass faggot nigger!Dumbass faggot nigger!Dumbass faggot nigger!Dumbass faggot nigger!Dumbass faggot nigger!Dumbass faggot nigger!Dumbass faggot nigger!Dumbass faggot nigger!Dumbass faggot nigger!Dumbass faggot nigger!Dumbass faggot nigger!Dumbass faggot nigger!Dumbass faggot nigger!Dumbass faggot nigger! 
 Dumbass faggot nigger!Dumbass faggot nigger!Dumbass faggot nigger!Dumbass faggot nigger!Dumbass faggot nigger!Dumbass faggot nigger!Dumbass faggot nigger!Dumbass faggot nigger!Dumbass faggot nigger!Dumbass faggot nigger!Dumbass faggot nigger!Dumbass faggot nigger!Dumbass faggot nigger!Dumbass faggot nigger!Dumbass faggot nigger!Dumbass faggot nigger!Dumbass faggot nigger!Dumbass faggot nigger!Dumbass faggot nigger!Dumbass faggot nigger!Dumbass faggot nigger!Dumbass faggot nigger!Dumbass faggot nigger!Dumbass faggot nigger!Dumbass faggot nigger! 
 Dumbass faggot nigger!Dumbass faggot nigger!Dumbass faggot nigger!Dumbass faggot nigger!Dumbass faggot nigger!Dumbass faggot nigger!Dumbass faggot nigger!Dumbass faggot nigger!Dumbass faggot nigger!Dumbass faggot nigger!Dumbass faggot nigger!Dumbass faggot nigger!Dumbass faggot nigger!Dumbass faggot nigger!Dumbass faggot nigger!Dumbass faggot nigger!Dumbass faggot nigger!Dumbass faggot nigger!Dumbass faggot nigger!Dumbass faggot nigger!Dumbass faggot nigger!Dumbass faggot nigger!Dumbass faggot nigger!Dumbass faggot nigger!Dumbass faggot nigger! 
 Dumbass faggot nigger!Dumbass faggot nigger!Dumbass faggot nigger!Dumbass faggot nigger!Dumbass faggot nigger!Dumbass faggot nigger!Dumbass faggot nigger!Dumbass faggot nigger!Dumbass faggot nigger!Dumbass faggot nigger!Dumbass faggot nigger!Dumbass faggot nigger!Dumbass faggot nigger!Dumbass faggot nigger!Dumbass faggot nigger!Dumbass faggot nigger!Dumbass faggot nigger!Dumbass faggot nigger!Dumbass faggot nigger!Dumbass faggot nigger!Dumbass faggot nigger!Dumbass faggot nigger!Dumbass faggot nigger!Dumbass faggot nigger!Du"
73379,:::How are you still allowed to edit here with that mentality? Don't worry about it JJG. Eventually the admins will stop giving him passes. Let him talk as much as he wants.
76506,""" 
 ::::Taken in context that is to mean that pseudocode is preferred above a language specific example, not that algorithms in pseudocode should be added 'where possible'. It's in itself not a huge issue to me if the other problems are addressed.    
 ::::: However, in contrast with you they did not write """"We strongly suggest removing any code and pseudocode as Wikipedia is not a textbook"""".  """
72896,""" 
 :::::::::::: Final physical destination? —    """
116700,I wasnt stirring any pot. I was privately advising THB when you lot interrupted me! 8-(
13809,""" 

  

 this scumbag should be locked up for life he sold out America he had his nose up the sauids ass for years and they played him for the fool he is with his scull and bones jerkoffs who sold theri souls for wealth one of the most stupid statements this nazi sell out was """" out sourcing is good for America"""" how Mr bush tell us how for the few rich eleite?/ for your plan to bank rupt America i saw those documents from the late 60's of your CIA plan to do this shit. you dumb scum bag whose brother rigged the elections in florida  who thought the saudis were hos friends and at the last few months of yoru office jacked up oil prices to make sure you wouldnt get in office agian  and that lying manchurian canadate did that lying muslium monky named obama.  so george did the saudis say to you """" oh yes george my friend the muslium world will love you for invading Afganistan and iraq?/ tell us gerorge who put all the warning of attack onthe back burner  tell us george how the minite men are just a bunch of vigi\lanties  but two weeks afetr you said that ass hole  you got intell info warning that nukes have been smuggled over the mexican american border?/  you will be  rememberd as the president who killed the USA, YOU WILL STAND BEFOREE GOD  sucker and it wont be that monster known as allah may you rot in hell"""
